zolai	english	translations	cefr	example
trader	(n.): ကုန်ကူးသန်းရောင်းဝယ်ဖောက်ကားသူ။ ကုန်သည်	(n.): ကုန်ကူးသန်းရောင်းဝယ်ဖောက်ကားသူ။ ကုန်သည်	C2	Derivatives market-ah na khel leh, trader khat na hi...
tradesman	(n.): ကုန်စည်ကူးသန်းရောင်းဝယ်သူ။ စျေးသည်။ စျေးဆိုင်ရှင်။	(n.): ကုန်စည်ကူးသန်းရောင်းဝယ်သူ။ စျေးသည်။ စျေးဆိုင်ရှင်။	C2	
tradespeople	tradespeople, sumbuk te	tradespeople | sumbuk te	C2	
traduce	(n): a hong hi neh hlangthet.	(n): a hong hi neh hlangthet.	C2	
traducer	traduce, slanderer	traduce | slanderer	C2	
traffic	(a) khualzinna, lampaina, paisuk paitohna	(a) khualzinna, lampaina, paisuk paitohna	C2	Tuate traffic meite ahi hi.
trafficator	(n.): mattawka khui lamah a her ding ti khihhmuhtu mattawka parih meitleu.	(n.): mattawka khui lamah a her ding ti khihhmuhtu mattawka parih meitleu.	C2	
tragedian	(n.): အလွမ်းအဆွေးပြဇာတ်များတွင်ပါဝင်ကပြသည့်သဘင်သည်။	(n.): အလွမ်းအဆွေးပြဇာတ်များတွင်ပါဝင်ကပြသည့်သဘင်သည်။	C2	
tragedy	(a) lipkhap huai, dipkuathuaina, khasiat huaina	(a) lipkhap huai, dipkuathuaina, khasiat huaina	C2	Shakespeare's "Macbeth" is a tragedy.
tragi-comedy	lungzuan huai-nuihzak huai kihel khawm limlah, tragi-comedy	lungzuan huai-nuihzak huai kihel khawm limlah | tragi-comedy	C2	
tragic	(a) alipkhaphuai adipkuathuai	(a) alipkhaphuai adipkuathuai	C2	So , the outcome is​​ tragic
tragicomedy	(n.): အလွမ်းအသော စုံသည့် ပြဇာတ်။ ငိုအားထက် ရယ်အားသန်ရသည့် အဖြစ်။ ငိုရမလိုရယ်ရမလို အဖြစ်။	(n.): အလွမ်းအသော စုံသည့် ပြဇာတ်။ ငိုအားထက် ရယ်အားသန်ရသည့် အဖြစ်။ ငိုရမလိုရယ်ရမလို အဖြစ်။	C2	Kua in tragicomedy cih banghiam hong hilhthei diam?
tragopan	vapi	vapi	C2	
trail	(n) suul; lam; milai ramsa vek fehnak suul.	(n) suul; lam; milai ramsa vek fehnak suul.	C2	Ziri trail tungah a om hi.
trailblazing	(adj.): (approv) မြေစမ်းခရမ်းပျိုး။ ဥ ဓားမဦးချ။ trail-blazing work in scientific research.	(adj.): (approv) မြေစမ်းခရမ်းပျိုး။ ဥ ဓားမဦးချ။ trail-blazing work in scientific research.	C2	
trailer	(n): mawtawka dungih peh dirh mi inn khaan.	(n): mawtawka dungih peh dirh mi inn khaan.	C2	Ziri trailer sungah om hi.
train	(n): meileng	(n): meileng	C2	Train ah ka tuang hi.
trainee	trainee, a kisin mi	trainee | a kisin mi | hilhna | hilhna sinsakna a ngah mi a kisin mi hihdaan bawldaan a sin mi	C2	Ama zung ah nasep sin (trainee) khat in sem hi.
trainer	(n.): hilhna, sinsakna a pia mi	(n.): hilhna, sinsakna a pia mi	C2	A (Journalism) Trainer, MMEC hi
training	(n) sinna	(n) sinna	C2	Amau sinna (training) nei uhi.
trait	(n) ziaza; mangbangza sinak.	(n) ziaza; mangbangza sinak.	C2	
traitor	(n) gam lehheekpa, kumpi langpangpa	(n) gam lehheekpa, kumpi langpangpa	C2	Tom pen mi phiatlian (traitor) khat ahi hi cih ka thei hi.
traitorous	(adj.): သစ္စာဖောက်သော။ သစ္စာဖျက်သော။	(adj.): သစ္စာဖောက်သော။ သစ္စာဖျက်သော။	C2	
traitress	(n) kumpi langpangnu	(n) kumpi langpangnu	C2	
traject	v. lawna a gaal tu sak; gamlapi tu sak, tung sak., traject	v. lawna a gaal tu sak; gamlapi tu sak, tung sak. | traject | lawna a gaal tu sak gamlapi tu sak tung sak	C2	
trajectory	(n.): အဟုန်နှင့်သွားသည့်အရာဝတ္တု၏လမ်းကြောင်း။	(n.): အဟုန်နှင့်သွားသည့်အရာဝတ္တု၏လမ်းကြောင်း။	C2	Sami in nuntakna ah thupilua thute sep ding a ngim (trajectory) hi.
trakhonitis	tetrarch	tetrarch | being | galilee | brother	C2	Gam tampi a uk Sisar Tiberius in a ukzawh a kum sawmlengana
tram	(n) mawtaw, dai, khuasung mawtaw, vanpua mawtaw	(n) mawtaw, dai, khuasung mawtaw, vanpua mawtaw	C2	Tua tram a siat hi.
tram-road	motor lampi, tram motor lampi siik lampi	motor lampi | tram motor lampi siik lampi | tram-road | siik lampi,	C2	
tramcar	(n) meidat tha thawn a feh mi mawtawka.	(n) meidat tha thawn a feh mi mawtawka.	C2	Tramcar te in khuapi kigawmsak hi.
trammel	(n.): ငှက်၊ ငါးစသည်ဖမ်းရန်ပိုက်ကွန်ရှည်။	(n.): ငှက်၊ ငါးစသည်ဖမ်းရန်ပိုက်ကွန်ရှည်။	C2	
tramontane	mikhual, gamdang mi	mikhual | gamdang mi | adj. gamdang mi; mikhual; theih ngei loh mi. | tramontane	C2	
tramp	(v) tuah, leituan, heh a lei tuandamdam	(v) tuah, leituan, heh a lei tuandamdam	C2	
trample	(v) pal; ke thawn pal; pal ciil.	(v) pal; ke thawn pal; pal ciil.	C2	
trampoline	(n.): a tlang spring thawn kaihmi a qang zetmi puanthan; lektu pawlin lu bingbilailet ih an pet tikih phahmi puan sah.	(n.): a tlang spring thawn kaihmi a qang zetmi puanthan; lektu pawlin lu bingbilailet ih an pet tikih phahmi puan sah.	C2	Tom pen trampoline tungah dawk hi.
tramway	(n.): ဓာတ်ရထားသံလမ်း။	(n.): ဓာတ်ရထားသံလမ်း။	C2	Tom tramway tawh pai hi.
tranquil	(a) lungmuan huai, lungnop huai, bangmah a bual lenglung omlo, daikhiilkhil, gamdai	(a) lungmuan huai, lungnop huai, bangmah a bual lenglung omlo, daikhiilkhil, gamdai	C2	Interplanetary space in kipna (tranquil) neilo hi.
tranquility	(n) lungmuan buai na, lungnop huaina	(n) lungmuan buai na, lungnop huaina	C2	1995 in State Peace and Tranquility Medal ngah hi.
trans-	kantan a pai, trans-	kantan a pai | trans-	C2	
trans-ship	tembaw khel in puak hi, trans-ship	tembaw khel in puak hi | trans-ship	C2	
transact	(v) bawl, sem, sai, hih, kikhopna a thu ngaihsun	(v) bawl, sem, sai, hih, kikhopna a thu ngaihsun	C2	
transalpine	Zawmagam lam pan akimuthei Alps muallam a tengmi, transalpine	Zawmagam lam pan akimuthei Alps muallam a tengmi | transalpine	C2	
transatlantic	(adj.): အတ္တလန္တိတ်သမုဒ္ဒရာတစ်ဘက်တွင်ရှိသော-ကိုဖြတ်သန်းသော။	(adj.): အတ္တလန္တိတ်သမုဒ္ဒရာတစ်ဘက်တွင်ရှိသော-ကိုဖြတ်သန်းသော။	C2	Transatlantic kuangpi in tuipi kan hi.
transcedent	a tuam pian muhna val amu, transcedent	a tuam pian muhna val amu | transcedent	C2	
transcend	(v) khumval, kan tan, lungsim a geelna khum	(v) khumval, kan tan, lungsim a geelna khum	C2	
transcendency	transcendence, a tuam pian na	transcendence | a tuam pian na	C2	
transcendent	(adj) a tha bik mi; a tha nasa bik; mi a hleih tuk mi; a saang tuk mi.	(adj) a tha bik mi; a tha nasa bik; mi a hleih tuk mi; a saang tuk mi.	C2	
transcendental	(adj.): သာမန်လူတို့ဉာဏ်မမီနိုင်သော။ လက်တွေ့တွင်အခြေမခံဘဲစိတ်အာရုံဖြင့်သာသိနိုင်သော။	(adj.): သာမန်လူတို့ဉာဏ်မမီနိုင်သော။ လက်တွေ့တွင်အခြေမခံဘဲစိတ်အာရုံဖြင့်သာသိနိုင်သော။	C2	Pi pen transcendental nambat khat ahi hi.
transcontinental	(adj) kontinen kaan mi; lan mi.	(adj) kontinen kaan mi; lan mi.	C2	Algeria pen transcontinental gam khat hikei mahleh Europe tawh kinai mahmah hi.
transcribe	(v) ngankhum; ngan cawng; ngan cia mi vekih ngansaal.	(v) ngankhum; ngan cawng; ngan cia mi vekih ngansaal.	C2	It was designed to be able to transcribe both Korean
transcript	(n) khum mi ca.	(n) khum mi ca.	C2	Tua pen “Transcript Evaluation” kici hi.
transept	singlamteh lim biakinn ii a pheilam(vei leh tak), transept	singlamteh lim biakinn ii a pheilam(vei leh tak) | transept	C2	
transfer	(v) suankhia, mundanga piangsak, kisuan khia	(v) suankhia, mundanga piangsak, kisuan khia	C2	Na transfer function pen a khamkai hiam?
transferal	(n.): tthawnnak.	(n.): tthawnnak.	C2	
transferee	transferee	a kisuankhia mi suankhiata om mi mi khat tunga bang hiam a kisuan khiatna | transferee | suankhiata om mi, mi khat tunga bang hiam a kisuan khiatna | n. a kisuankhia mi; suankhiata om mi, mi khat tunga bang hiam a kisuan khiatna.	C2	
transfigure	(v) mel laih, a lamdanga mel kilaih	(v) mel laih, a lamdanga mel kilaih	C2	
transfix	(v.): ထိုးဖောက်သည်။ ထိုးစိုက်သည်	(v.): ထိုးဖောက်သည်။ ထိုးစိုက်သည်	C2	
transform	(v) bawl kik, alim bawl kik, amel bawlpha	(v) bawl kik, alim bawl kik, amel bawlpha	C2	They can transform themselves into snakes
transformer	(n.): a kikheel saktu	(n.): a kikheel saktu	C2	Rajasthan State sung ahzong Tuesday nitaklam in Electricity Transformer khat
transfuse	(v) hmunkhat ihsin hmundangah thun; thi thunsak.	(v) hmunkhat ihsin hmundangah thun; thi thunsak.	C2	
transfusion	(n.): zelh kim sakna; mi khat pan mi dang khat tunga sisan hopna, sisan piakkhiatna	(n.): zelh kim sakna; mi khat pan mi dang khat tunga sisan hopna, sisan piakkhiatna	C2	Tuaban ah numei pasal omkhopna paninzong ki lawhthei
transgress	(v.): ngeina palsatna, angeina pan a pialkhiatna; palsat; zuui lo; thukhaam zuui lo-a palsat; gamgi kaantana pai khengvaal; mawhna bawl	(v.): ngeina palsatna, angeina pan a pialkhiatna; palsat; zuui lo; thukhaam zuui lo-a palsat; gamgi kaantana pai khengvaal; mawhna bawl	C2	should I transgress this Oath and violate it
transgression	(n.) palsatna; khengvaalna; zuih lohna	(n.) palsatna; khengvaalna; zuih lohna	C2	
transgressor	(n.) nawl buartu	(n.) nawl buartu	C2	
tranship	tranship	tranship | tembaw meileeng motorpi khat pan a dang tembaw, meileeng motorpi khata teikhia suahkhia-a guang | v. tembaw, meileeng, motorpi khat pan a dang tembaw, meileeng, motorpi khata teikhia, suahkhia-a guang.	C2	
transient	(adj.): hun tomkaal sung bek; a tawntung ading hi lo; sawtpi kimang lo; tomkha sung bek kikhom, hun tomkha sung	(adj.): hun tomkaal sung bek; a tawntung ading hi lo; sawtpi kimang lo; tomkha sung bek kikhom, hun tomkha sung	C2	
transilient	thakhat thu-a beivat, adj. kheel kawikawi; thakhat thu-a beivat.	thakhat thu-a beivat | adj. kheel kawikawi; thakhat thu-a beivat. | kheel kawikawi | transilient	C2	
transistor	(n.): လျှပ်စစ်အားတိုးပွားအောင်လုပ်သောကိရိယာ။	(n.): လျှပ်စစ်အားတိုးပွားအောင်လုပ်သောကိရိယာ။	C2	Transistor bawlkhiatna in hun thak khat hong tonpih hi.
transit	(n) apua kawikawi, akilaih kawikawi mellatdan, van kikhenÂ’ tuahna	(n) apua kawikawi, akilaih kawikawi mellatdan, van kikhenÂ’ tuahna	C2	Transit counter contact dan haksa pen hi.
transitive	(adj.): ဖြတ်သွားနိုင်သော။ ကူးပြောင်းစေနိုင်သော။	(adj.): ဖြတ်သွားနိုင်သော။ ကူးပြောင်းစေနိုင်သော။	C2	Huai pen transitive verb ahi hi.
transitory	(adj.): ခေတ္တသာတည်မြဲသော။ လျင်မြန်စွာပျက်ပြယ်တတ်သော။	(adj.): ခေတ္တသာတည်မြဲသော။ လျင်မြန်စွာပျက်ပြယ်တတ်သော။	C2	
translate	(v) khia, letkhia lumlet Amah in mang kam let khia hi	(v) khia, letkhia lumlet Amah in mang kam let khia hi	C2	Google Translate tawh tei in.
translator	(n) tonglettu; ca lettu.	(n) tonglettu; ca lettu.	C2	Zomi Language Translator Online Mr.
translator
interpretor	kampheenmi	kampheenmi	C2	
transliterate	(v) midang tong miah ca thawn ngan; midang ca cadang thaw-ih ngansaal.	(v) midang tong miah ca thawn ngan; midang ca cadang thaw-ih ngansaal.	C2	
translocate	v. a omna kikheng sak., translocate	v. a omna kikheng sak. | translocate | a omna kikheng sak	C2	
translucent	(adj.): ရောင်ခြည်ဖောက်ထွင်းဝင်နိုင်သော။ ကြည်လင်သော။	(adj.): ရောင်ခြည်ဖောက်ထွင်းဝင်နိုင်သော။ ကြည်လင်သော။	C2	
transmarine	transmarine	tuipi gaal khat lam pana hong pai tuipi kaantana pai | transmarine | tuipi gaal khat lam pana hong pai | adj. tuipi gaal khat lam pana hong pai; tuipi kaantana pai.	C2	
transmigrate	(v.): တစ်ပြည်မှအခြားတစ်ပြည်သို့ပြောင်းရွေ့နေထိုင်သည်။	(v.): တစ်ပြည်မှအခြားတစ်ပြည်သို့ပြောင်းရွေ့နေထိုင်သည်။	C2	
transmission	(a) khakkhiat na paisawnsakna	(a) khakkhiat na paisawnsakna	C2	Transmission rights te bangzah ahi hiam?
transmit	(v) khakkhia, pia sawn, kikhak sawn	(v) khakkhia, pia sawn, kikhak sawn	C2	Tua flu virus pen kilawh baih mahmah ding (ability to transmit rapidly).
transmitter	(n.): ကူးပြောင်းသွယ်ပို့ပေးသူ။ သွယ်ပို့ပေးသည့်အရာ။	(n.): ကူးပြောင်းသွယ်ပို့ပေးသူ။ သွယ်ပို့ပေးသည့်အရာ။	C2	Karl in transmitter tung hi.
transmogrify	transmogrify, v. a buuk a bek-a kilamdang, kikheel.	transmogrify | v. a buuk a bek-a kilamdang, kikheel. | a buuk a bek-a kilamdang kikheel | (dawi ai tawh)pian pih ngeina-lungsim puakzia-mel leh sa cihte kikhel sak hi	C2	
transmute	(v.) thil pakhat phundangah thlengter.	(v.) thil pakhat phundangah thlengter.	C2	
transoceanic	transoceanic, adj. tuipi gaal pan; tuipi kaantanin.	transoceanic | adj. tuipi gaal pan; tuipi kaantanin. | tuipi gaal pan | tuipi kantan in apai	C2	
transom	(n) sangka a si lo le tukvirh; tlunvan-ih tukvirh fatesin.	(n) sangka a si lo le tukvirh; tlunvan-ih tukvirh fatesin.	C2	Kongkhak tung vang (transom) ka phan zo kei hi.
transparency	(n.) kimuh pailetna; maan banga kimuh suakna	(n.) kimuh pailetna; maan banga kimuh suakna	C2	Thu im lo mi Transparency seh ding.
transparent	(a) akimu paih let, akimupaisuakthei	(a) akimu paih let, akimupaisuakthei	C2	“Tua manin transparent life neih ding Christian khangnote in kisam hi.
transpicuous	cih nopna theih baih, a geennopna kithei ziau, transpicuous	cih nopna theih baih, a geennopna kithei ziau | transpicuous | adj. a cih nopna theih baih, a geennopna kithei ziau. | a cih nopna theih baih a geennopna kithei ziau	C2	
transpierce	vutvang suak a pailet-a vut suak, transpierce	vutvang suak a pailet-a vut suak | transpierce | v. vutvang suak; a pailet-a vut suak.	C2	
transpirate	transpiration	transpiration	C2	
transpire	(v) puang; mi-in an theisaal.	(v) puang; mi-in an theisaal.	C2	
transplant	(v) suansawn, singno aci kipawina pan suankhia	(v) suansawn, singno aci kipawina pan suankhia	C2	Hihbangdan naubu kipia cihpen India gamsung ah omngeilo in
transpolar	transpolar, leilu dawn munte kantan in apai	transpolar | leilu dawn munte kantan in apai	C2	
transport	(v) pua sawn, pua khia sawn, puakna	(v) pua sawn, pua khia sawn, puakna	C2	1978-1991 Road and Transport Co-operation (R
transpose	(v) umnak thlengter.	(v) umnak thlengter.	C2	Matrix transpose muhna pen linear algebra khensatna ah
transsexual	(adj.): mipa ka si hmang tiih thinlung neitu nunau, a lunglet ih neitu mipa.	(adj.): mipa ka si hmang tiih thinlung neitu nunau, a lunglet ih neitu mipa.	C2	Gay, bisexual, maw transsexual hih sangin bawltawm paute zat pen
transship	(v.): tangphawlawng pakhat in pakhat ah thilri thlengh.	(v.): tangphawlawng pakhat in pakhat ah thilri thlengh.	C2	
transtive	(n): tukna nei verb kammal	(n): tukna nei verb kammal	C2	
transubstantiate	(v.): na khat pen a dang khat suak sak; a hihna kheel lamdang	(v.): na khat pen a dang khat suak sak; a hihna kheel lamdang	C2	
transversal	transversal	adj. line nih saanga tamzaw tunga tusuk line dang khat. | transversal | line nih saanga tamzaw tunga tusuk line dang khat	C2	
transverse	(adj) a kalh zawngih a um mi.	(adj) a kalh zawngih a um mi.	C2	
transvestite	(n.): numei in pasal' puan, pasal in numei' puan silh nopna	(n.): numei in pasal' puan, pasal in numei' puan silh nopna	C2	Tu dongin, transgender mi leh transvestite mi kihelh omlai hi.
trap	(n) thang, Ka naupan lai in vasa thang ka kam hi	(n) thang, Ka naupan lai in vasa thang ka kam hi	C2	Ziri-in phual tungah trap door khat mu hi.
trap
snare	thaang 	thaang  | thang	C2	
trap-door	trap-door, sual kihong a kithuah kongkhak	trap-door | sual kihong a kithuah kongkhak	C2	
trapeze	(n) pepawk vawr daan phunkhat.	(n) pepawk vawr daan phunkhat.	C2	Tom pen trapeze siam khat hi.
trapezium	(n.): မည်သည့်မျက်ဆိုင်အနားနှစ်ဘက်မှမျဉ်းပြိုင်မဟုတ်သည့်လေးထောင့်ပုံ။	(n.): မည်သည့်မျက်ဆိုင်အနားနှစ်ဘက်မှမျဉ်းပြိုင်မဟုတ်သည့်လေးထောင့်ပုံ။	C2	Trapezium khat a pualam liatna bangci hisap ding na hiam?
