zolai	english	translations	cefr	example
attan	offering	offering | there | great | thumbs	A1	tua kuam sungah a bawngla ngawng attan ding uh hi.
ausan	blue	blue | scarlet | purple | gold	A1	a ausan khaute leh a kop-a kikhuk puan hoihte
autok	covereth	covereth | fat | thou | shalt	A1	
avan	bilhan	bilhan | ezer | zaavan | sons	A1	Ezer’ tapate in: Bilhan, Za-avan leh Akan ahi uh hi.
aven	beside	beside | wilderness | pitched | gilgal	A1	Damaskas khuakulhpi zawlte ka sutan ding
avith	city	city | moab | reigned | stead	A1	ama khuapi min Avith ahi hi.
avvim	gaza	gaza | avites | avim | dwelt	A1	Gaza ciangdong khuaneute-ah a teng Avvim mite ahih leh Kaftor
awging	uprear	voice | heard | brought | there	A1	Ama kam panin hong gingkhia hih vanging, Pasian’ pauna awging ngai un.
awk	eclipse	taken | net | caught | thicket	A1	Thang-ah a khetul-in awk a, thangkhau in amah gakcip hi.
awmdal	breastplate	breastplate | thou | stones | shalt	A1	siampipuan leh awmdal-a bulh dingin onik suangte ahi hi.
awmtal	whatsoever	whatsoever | serpent | goeth | like	A1	a bukna uh munmuan'huaite panin lau-in a lingsa-in hong pusuak ding uh
awng	saith	saith | fulness | shout | glad	A1	Van panin Topa hong awng suk
awngthawlpi	void	void | face | earth | without	A1	tua tui tungah Pasian' Kha in na a sem hi.
azazel	lot	lot | scapegoat | goat | fell	A1	Aaron in tua keel nihte tungah ai saanin
azekah	azekah	azekah | israel | soco | fields	A1	Sokoh leh Azekah kikal Efesdammim-ah giahphual sat uh hi.
azmon	addar	addar | fetch | thence | azmon	A1	Azmon panin Egypt Lui lamah kawi-in Tuipi-ah tawp ding hi.
aznothtabor	aznoth	aznoth | reacheth | coast | turneth	A1	Tua ciangin nitumna lam Aznothtabor-ah a gamgi kihei
azzan	paltiel	paltiel | children | issachar | son	A1	Issakhar minam sung panin makai khat, Azzan’ tapa Paltiel ahi hi.
baa	your	your | corners | round | heads	A1	Note in na baa samte uh metloin na khamul mongte
baal	eddo	baal | served | prophets | incense	A1	a tapa Mikah, a tapa Reaiah, a tapa Baal,
baalah	border	border | compassed | passed | baalah	A1	Tua ciangin mual dawn panin Neftoah lui-ah gamgi kikhung
baalath	baalath	baalath | tamar | cities | solomon	A1	leh Baalath leh Judah gamsung, gamlakah Tamar,
baalathbe	about	about | villages | round | these	A1	
baalgad	lebanon	lebanon | hermon | mount | gad	A1	Hermon Mual nuai-a Baalgad panin Hamath tumna ciang,
baalhanan	baal	baal | son | hanan | achbor	A1	Shaul si a, Akbor’ tapa Baalhanan in ama' tangin uk hi.
baalmeon	baal	baal | aroer | beth | meon	A1	Nebo, leh Baalmeon (a minte khel ding), leh Sibmah khuapite sat uh
baalpeor	your	your | baal | firstripe | fig	A1	zui mi khempeuh susia a,
baalzefon	hahiroth	hahiroth | before | again | baal	A1	Baalzefon nisuahna lama om Pihahiroth lamah kihei kik uh
baan	strong	strong | crown | shouted | bracelet	A1	Ngaihno aw, na ngaih baang mahmah
baang	thou	thou | saith | both | servant	A1	sih theihna gu a baang thaltang tawh a kappa tawh kibang hi.
baangin	well	well | how | joseph | eat	A1	Tua ahih ciangin amah in
baante	everlasting	everlasting | god | refuge | underneath	A1	
babel	name	name | therefore | called | babel	A1	Ama kumpi gam kipatna Babel, Erek, leh Akkad hi
babilon	king	king | babylon | saith | thus	A1	Tua zan mahmah in Babilon kumpipa Belshazzar kithat a,
bai	lame	lame | penuel | became | feet	A1	Amah in a liam a bai guh kitan sa-in a
baih	easy	morning | missing | early | day	A1	Tua ciangin kumpipa lau lua mahmah
baihin	early	early | rose | your | morning	A1	ama liangko tungah naupang tawh suanin a sawlkhia hi. Amah paikhia
baihsa	against	against | third | war | bow	A1	Amah in mei thaltang bawl
